variable_EC,FMIKey_short,FMIKey1,FMIKey2
MSL,P-PA,P-PA:ECG:1106:1:0:1:-1,P-PA:ECG:1105:1:0:1:-1
T2,T-K,T-K:ECG:1106:1:0:1:-1,T-K:ECG:1105:1:0:1:-1
D2,TD-K,TD-K:ECG:1106:1:0:1:-1,TD-K:ECG:1105:1:0:1:-1
U10,U-MS,U-MS:ECG:1106:1:0:1:-1,U-MS:ECG:1105:1:0:1:-1
V10,V-MS,V-MS:ECG:1106:1:0:1:-1,V-MS:ECG:1105:1:0:1:-1
LCC,NL-0TO1,NL-0TO1:ECG:1106:1:0:1:-1,NL-0TO1:ECG:1105:1:0:1:-1
MCC,NM-0TO1,NM-0TO1:ECG:1106:1:0:1:-1,NM-0TO1:ECG:1105:1:0:1:-1
SKT,SKT-K,SKT-K:ECG:1106:1:0:1:-1,SKT-K:ECG:1105:1:0:1:-1
MX2T,TMAX-K,TMAX-K:ECG:1106:1:0:1:-1,TMAX-K:ECG:1105:1:0:1:-1
MN2T,TMIN-K,TMIN-K:ECG:1106:1:0:1:-1,TMIN-K:ECG:1105:1:0:1:-1
T_925,T-K:::2:92500:1,T-K:ECG:1106:2:92500:1:-1,T-K:ECG:1105:2:92500:1:-1
T2_ENSMEAN_MA1,T-MEAN-K,T-MEAN-K:ECG:1108:1:0:5:-1,T-MEAN-K:ECG:1108:1:0:1:-1
SRR     176  Surface net solar radiation   RNETSWA-JM2  RNETSWA-JM2:ECG:1106:1:0:1:-1
14 STR     177  Surface net thermal radiation RNETLWA-JM2  RNETLWA-JM2:ECG:1106:1:0:1:-1
15 SLHF    147  Surface latent heat flux      FLLAT-JM2    FLLAT-JM2:ECG:1106:1:0:1:-1
16 SSHF    146  Surface sensible heat flux    FLSEN-JM2     FLSEN-JM2:ECG:1106:1:0:1:-1